"title","age","children_in_home","education","gender","reviewer_type","work_status","genre","length_minutes","season","total_reviews","review_text","word_count","rating_first_watch","rating_second_watch","release_date","review_date","length_hours"
"Guardians of Destiny",59,0,"Completed College","male","Viewer","Employed","Action/Adventure","21 mins","Winter",374,"I expected more, but this movie left me utterly disappointed.",10,"2.1 stars","2.1 stars","9-20-2004","2010/7/27","2 hrs"
"Whispers of Hope",34,1,"Completed High School","female","Viewer","Employed","Drama","9 mins","Summer",389,"An extraordinary journey that left me inspired.",7,"3.5 stars","3.5 stars","12-18-2018","2018/2/23","2 hrs"
"Cosmic Adventures",48,2,"Completed College","female","Critic","Employed","Sci-Fi","1 mins","Fall",8655,"An okay watch with some redeeming qualities.",7,"2.9 stars","2.8 stars","8-22-2012","2016/9/18","2 hrs"
"Beyond the Stars",77,0,"Completed High School","female","Critic","Employed","Sci-Fi","17 mins","Summer",3305,"A film that lacked direction and substance. Avoid at all costs.",11,"2.7 stars","2.7 stars","5-17-1997","2001/6/4","2 hrs"
"Echoes of Eternity",18,0,"Post-Graduate","male","Viewer","Student","Drama","18 mins","Summer",7245,"A cinematic masterpiece.",3,"4.5 stars","4.6 stars","6-27-1998","2002/11/13","2 hrs"
"Whispers of Hope",28,1,"Post-Graduate","male","Viewer","Employed","Drama","27 mins","Summer",389,"Mesmerizing and thought-provoking. A true masterpiece.",7,"3.6 stars","3.7 stars","8-16-2018","2020/7/26","1 hrs"
"Whispers of Fate",48,1,"Post-Graduate","male","Viewer","Employed","Drama","48 mins","Fall",8887,"An instant classic that will be cherished for years.",9,"3.6 stars","3.7 stars","9-27-2009","2011/10/14","1 hrs"
"Legends Reborn",80,0,"Completed College","female","Critic","Employed","Action/Adventure","58 mins","Fall",5896,"A movie that left me uninterested and thoroughly unmoved.",9,"2.2 stars","2.1 stars","10-22-2008","2018/12/8","1 hrs"
"Beyond Boundaries",62,0,"Post-Graduate","female","Critic","Employed","Other","34 mins","Fall",8184,"Disappointing movie.",2,"2.6 stars","2.6 stars","11-14-2018","2020/9/16","2 hrs"
"Chronicles of Destiny",31,0,"Completed High School","female","Critic","Employed","Action/Adventure","58 mins","Fall",4695,"Complete letdown, don't bother.",5,"1.7 stars","1.7 stars","5-4-2000","2001/11/1","1 hrs"
"Epic Discovery",51,1,"Post-Graduate","male","Viewer","Employed","Action/Adventure","16 mins","Fall",7677,"I can't say I loved it, but I didn't hate it either.",14,"3 stars","3.2 stars","10-6-1994","1997/10/10","1 hrs"
"Under the Rainbow",53,0,"Completed High School","female","Viewer","Employed","Kids","4 mins","Summer",530,"One of the worst movies I've ever seen. It was painful to sit through. The plot was nonsensical, and the acting was atrocious.",24,"1.9 stars","1.8 stars","11-12-1996","2000/10/12","2 hrs"
"Chronicles of Destiny",43,0,"Completed College","male","Critic","Employed","Action/Adventure","22 mins","Fall",4695,"I couldn't connect with the story or characters at all.",11,"1.7 stars","1.6 stars","4-26-2000","2003/8/17","2 hrs"
"Reflections of Reality",47,1,"Completed College","male","Viewer","Retired","Other","17 mins","Summer",2599,"It had potential, but it didn't fully deliver.",9,"2.9 stars","2.9 stars","9-25-2019","2021/11/27","1 hrs"
"Crazy Antics",25,0,"Post-Graduate","male","Viewer","Unemployed","Comedy","8 mins","Winter",6745,"A film that didn't leave a lasting mark.",9,"3.2 stars","3.2 stars","5-7-1992","1997/6/1","2 hrs"
"Love in the Air",52,2,"Completed College","female","Viewer","Employed","Romance","33 mins","Summer",6969,"A movie that left me feeling indifferent.",7,"3.4 stars","3.4 stars","1-11-2018","2020/5/9","2 hrs"
"Lost Treasures",25,1,"Completed High School","female","Viewer","Employed","Action/Adventure","47 mins","Spring",4040,"A film that didn't quite make a strong impression.",10,"3.3 stars","3.4 stars","10-22-2009","2012/5/8","1 hrs"
"Cursed Kingdom",65,0,"Post-Graduate","male","Critic","Employed","Drama","8 mins","Summer",5101,"It didn't exceed my expectations, but it wasn't bad.",11,"3.1 stars","3.2 stars","10-14-2000","2006/7/15","2 hrs"
"Eternal Sunshine",21,0,"Post-Graduate","male","Viewer","Unemployed","Drama","33 mins","Summer",4603,"A stunning testament to the power of cinema.",8,"3.9 stars","3.8 stars","7-13-2017","2019/5/1","1 hrs"
"Eternal Echoes",65,0,"Completed College","male","Viewer","Unemployed","Drama","42 mins","Summer",7130,"A work of art that transcends the ordinary.",8,"3.7 stars","3.6 stars","8-1-1992","1998/2/7","1 hrs"
"Journey to the Unknown",71,0,"Completed College","female","Viewer","Retired","Action/Adventure","21 mins","Summer",2537,"A lackluster attempt that fell short in every way.",9,"2.6 stars","2.5 stars","9-10-2000","2002/11/23","2 hrs"
"Legends Unleashed",69,0,"Completed College","male","Viewer","Employed","Action/Adventure","33 mins","Summer",4095,"A passable movie that didn't leave a strong impression.",10,"3 stars","3 stars","10-22-2009","2010/2/4","2 hrs"
"Hilarity Unleashed",80,0,"Post-Graduate","male","Critic","Retired","Comedy","49 mins","Fall",7590,"Impressed by every aspect.",4,"3.9 stars","3.7 stars","12-15-2019","2021/12/28","1 hrs"
"Echoes of Eternity",18,1,"Completed College","male","Viewer","Student","Drama","53 mins","Summer",7245,"Filled with wonder and moments of sheer brilliance.",8,"4.1 stars","4 stars","6-16-1998","1999/4/11","1 hrs"
"Legends of Winter",30,1,"Completed College","male","Viewer","Employed","Drama","25 mins","Fall",2617,"It had potential, but it didn't fully deliver.",9,"3 stars","3 stars","5-26-2006","2006/9/21","2 hrs"
"Whispers of Hope",18,0,"Post-Graduate","female","Viewer","Employed","Drama","6 mins","Summer",389,"A film that lacked the depth I was hoping for.",10,"3.1 stars","3.2 stars","1-23-2018","2019/2/14","2 hrs"
"Quest for the Crystal",46,1,"Post-Graduate","male","Viewer","Employed","Action/Adventure","31 mins","Summer",3611,"A watchable effort that didn't quite stand out.",9,"3.4 stars","3.3 stars","1-24-1996","2003/8/25","2 hrs"
"The Last Crusade",20,0,"Completed College","male","Viewer","Employed","Action/Adventure","47 mins","Winter",4492,"I can't believe I wasted money on a ticket to see this. The characters were one-dimensional, and the story was dull and uninspired.",25,"2.3 stars","2.2 stars","12-9-2015","2016/11/26","1 hrs"
"Giggles and Grins",51,0,"Post-Graduate","female","Viewer","Employed","Comedy","17 mins","Winter",9926,"This movie was a delightful surprise! The characters were endearing, and the storyline was heartwarming. It's the perfect feel-good film for a summer evening.",26,"3.5 stars","3.4 stars","4-23-2012","2012/2/4","1 hrs"
"Forgotten Realms",44,1,"Post-Graduate","female","Critic","Employed","Drama","47 mins","Summer",3337,"A true gem of cinema.",5,"3.6 stars","3.6 stars","4-13-2013","2016/1/3","1 hrs"
"The Mysterious Expedition",18,0,"Completed College","male","Viewer","Employed","Action/Adventure","7 mins","Fall",5056,"A lukewarm experience that neither wowed nor disappointed.",8,"3.4 stars","3.5 stars","8-19-2016","2016/11/28","2 hrs"
"Wonderland Adventures",54,0,"Completed College","female","Viewer","Unemployed","Kids","29 mins","Spring",2160,"Terrible. Just terrible. The script was terrible, the acting was terrible, and I regret ever watching it.",17,"2.5 stars","2.6 stars","2-6-2012","2012/2/10","2 hrs"
"Tales of Tiny Explorers",71,0,"Completed College","male","Viewer","Employed","Kids","7 mins","Fall",4368,"I expected more from this movie, but it was a letdown. The story was predictable, and the acting was mediocre.",20,"2.3 stars","2.3 stars","5-11-2002","2003/6/3","2 hrs"
"Rise of the Phoenix",32,1,"Completed College","male","Critic","Employed","Action/Adventure","35 mins","Winter",6613,"An uninspired mess that left me utterly unimpressed.",8,"2.2 stars","2.1 stars","4-21-2006","2007/12/7","2 hrs"
"Requiem for a Dream",18,0,"Completed College","female","Viewer","Student","Drama","31 mins","Winter",3517,"I was hooked from the first scene. The suspense and excitement never let up. A must-see thriller!",18,"4.4 stars","4.5 stars","1-8-2008","2012/2/5","2 hrs"
"Lost Treasures",69,0,"Completed High School","female","Viewer","Employed","Action/Adventure","18 mins","Spring",4040,"Complete letdown, don't bother.",5,"2.5 stars","2.5 stars","5-10-2009","2009/5/11","1 hrs"
"Shattered Reflections",50,0,"Completed College","male","Viewer","Employed","Drama","23 mins","Spring",2500,"A masterpiece of cinema.",4,"3.7 stars","3.6 stars","10-1-2017","2019/11/3","2 hrs"
"The Last Crusade",75,0,"Completed College","male","Critic","Retired","Action/Adventure","21 mins","Winter",4492,"I wouldn't recommend this movie to anyone. It was boring, poorly acted, and had a terrible script.",18,"2.3 stars","2.4 stars","8-21-2015","2017/8/10","2 hrs"
"Beneath the Surface",33,1,"Post-Graduate","male","Viewer","Employed","Drama","20 mins","Fall",9202,"An absolute joy to watch. The humor is spot-on, and the characters are lovable.",15,"3.8 stars","3.8 stars","7-16-2011","2017/4/21","1 hrs"
"Midnight Whispers",29,0,"Completed High School","female","Viewer","Employed","Drama","20 mins","Summer",9341,"Exceptional storytelling.",2,"3.8 stars","3.8 stars","2-28-2012","2018/5/4","1 hrs"
"Stellar Explorers",67,0,"Completed High School","female","Viewer","Employed","Sci-Fi","42 mins","Fall",8106,"I can't believe I sat through this garbage. The story was nonsensical, and the characters were poorly developed.",19,"2.6 stars","2.5 stars","5-14-2013","2020/2/18","1 hrs"
"Shadowed Past",75,0,"Completed College","male","Viewer","Retired","Drama","7 mins","Summer",4038,"There are parts I liked, but overall, it's average.",10,"3.2 stars","3.2 stars","10-20-2017","2017/5/18","2 hrs"
"Whispers of Hope",20,0,"Completed High School","female","Viewer","Student","Drama","3 mins","Summer",389,"A mesmerizing and emotionally resonant triumph.",6,"3.6 stars","3.4 stars","12-18-2018","2020/3/14","2 hrs"
"Quest for the Crystal",57,0,"Post-Graduate","male","Viewer","Retired","Action/Adventure","47 mins","Summer",3611,"It's a film that falls in between. Not remarkable, not terrible.",12,"2.8 stars","2.9 stars","11-26-1996","2003/3/14","1 hrs"
"Clash of Titans",56,0,"Post-Graduate","female","Viewer","Employed","Action/Adventure","33 mins","Summer",3638,"Horrible film, avoid at all costs.",6,"2.4 stars","2.5 stars","1-24-2015","2015/3/16","1 hrs"
"Broken Promises",51,0,"Post-Graduate","female","Critic","Employed","Drama","49 mins","Fall",5560,"An average experience that didn't leave a strong mark.",10,"2.8 stars","2.7 stars","4-15-2008","2013/8/2","1 hrs"
"Laughter Therapy",49,1,"Completed College","female","Viewer","Unemployed","Comedy","23 mins","Summer",2829,"A true gem that will leave you touched and inspired.",10,"3.9 stars","3.8 stars","7-23-1996","1997/1/27","1 hrs"
"Crazy Antics",34,0,"Post-Graduate","male","Critic","Employed","Comedy","10 mins","Winter",6745,"A cinematic disaster that I wish I hadn't endured.",10,"2.6 stars","2.4 stars","4-12-1992","1994/5/16","2 hrs"
"Unseen Horizons",35,2,"Completed College","female","Viewer","Employed","Drama","30 mins","Summer",7985,"A captivating masterpiece that left me speechless.",7,"4.4 stars","4.5 stars","5-26-2010","2019/4/18","2 hrs"
"Forgotten Realms",18,0,"Completed High School","female","Viewer","Student","Drama","20 mins","Summer",3337,"A triumph of storytelling and visual splendor.",7,"4.1 stars","4.3 stars","12-14-2013","2018/4/5","1 hrs"
