"ego_id","alter_id","ego_section","alter_section"
1,47,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
1,28,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
1,22,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
1,53,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
1,52,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
1,56,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
1,1,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
1,4,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
1,25,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
1,31,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
2,7,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
2,62,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,45,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,29,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
3,21,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,2,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,16,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,41,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,55,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,60,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,39,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,53,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,61,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,52,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,32,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,7,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,33,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,1,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,34,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,25,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,67,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,20,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,30,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,69,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
3,62,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
4,6,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
4,47,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
4,14,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
4,64,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
4,15,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
4,65,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
4,26,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
4,66,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
4,68,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
4,53,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
4,61,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
4,52,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
4,23,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
4,1,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
4,48,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
4,36,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
4,20,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
5,51,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
5,24,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
5,12,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
5,19,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
5,49,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
5,10,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
5,34,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
5,43,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
5,30,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
6,47,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
6,14,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
6,15,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
6,8,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
6,26,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
6,2,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
6,49,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
6,18,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
6,3,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
6,66,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
6,22,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
6,41,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
6,61,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
6,52,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
6,56,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
6,33,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
6,1,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
6,4,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
6,48,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
6,25,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
6,20,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
6,62,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
7,29,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
7,21,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
7,2,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
7,3,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
7,42,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
7,39,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
7,61,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
7,32,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
8,49,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
8,68,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
8,38,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
8,17,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
8,23,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
8,48,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
8,36,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,9,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,24,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,57,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,37,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,29,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,58,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,19,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,21,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
9,49,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,18,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,54,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
9,61,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
